下料批次号,零件名,面料号,零件外轮廓线坐标
L0003,s000037,M0003,"[[15117.0, 325.0], [15115.2, 324.9], [15108.8, 324.9], [15107.0, 325.0], [15100.099999999999, 325.20000000000005], [15093.3, 325.70000000000005], [15086.5, 326.4], [15078.400000000001, 327.9], [15070.599999999999, 330.0], [15063.2, 332.9], [15057.7, 336.0], [15052.400000000001, 339.70000000000005], [15047.5, 344.1], [15045.3, 346.4], [15043.0, 348.9], [15040.900000000001, 351.4000000000001], [15037.599999999999, 355.79999999999995], [15034.7, 360.20000000000005], [15032.099999999999, 364.79999999999995], [15030.599999999999, 368.20000000000005], [15029.0, 371.9000000000001], [15024.2, 384.5], [14855.099999999999, 340.0], [14857.0, 330.20000000000005], [14859.099999999999, 319.70000000000005], [14861.400000000001, 308.29999999999995], [14863.599999999999, 297.29999999999995], [14864.599999999999, 291.9], [14864.7, 291.4], [14865.7, 286.20000000000005], [14866.7, 280.6], [14868.0, 272.6], [14869.3, 264.70000000000005], [14870.400000000001, 256.70000000000005], [14871.099999999999, 250.20000000000005], [14871.7, 243.5], [14873.2, 227.39999999999998], [15360.8, 227.39999999999998], [15362.2, 243.5], [15362.8, 250.20000000000005], [15363.5, 256.70000000000005], [15364.599999999999, 264.70000000000005], [15365.900000000001, 272.6], [15367.2, 280.6], [15368.3, 286.20000000000005], [15369.2, 291.4], [15369.3, 291.9], [15370.400000000001, 297.29999999999995], [15372.5, 308.29999999999995], [15374.8, 319.70000000000005], [15376.900000000001, 330.20000000000005], [15378.8, 340.0], [15209.7, 384.5], [15204.900000000001, 371.9000000000001], [15203.400000000001, 368.20000000000005], [15201.8, 364.79999999999995], [15199.2, 360.20000000000005], [15196.3, 355.79999999999995], [15193.0, 351.4000000000001], [15190.900000000001, 348.9], [15188.7, 346.4], [15186.400000000001, 344.1], [15181.5, 339.70000000000005], [15176.2, 336.0], [15170.7, 332.9], [15163.3, 330.0], [15155.5, 327.9], [15147.400000000001, 326.4], [15140.599999999999, 325.70000000000005], [15133.8, 325.20000000000005], [15126.900000000001, 325.0], [15125.099999999999, 324.9], [15118.7, 324.9], [15117.0, 325.0]]"
L0003,s000038,M0003,"[[73.0, 1456.0], [213.0, 1456.0], [213.0, 1488.4], [73.0, 1488.4], [73.0, 1456.0]]"
L0003,s000039,M0003,"[[1496.0, 341.0], [1495.7999999999993, 325.6999999999998], [1495.7999999999993, 310.1999999999998], [1495.9000000000015, 294.6999999999998], [1496.2999999999993, 277.6999999999998], [1496.9000000000015, 260.5], [1497.5999999999985, 243.80000000000018], [1498.2000000000007, 230.80000000000018], [1498.9000000000015, 218.5], [1499.7999999999993, 205.69999999999982], [1501.0, 192.5999999999999], [1502.5, 179.4000000000001], [1504.2000000000007, 166.4000000000001], [1505.7000000000007, 156.30000000000018], [1507.4000000000015, 146.0999999999999], [1509.4000000000015, 136.0], [1512.2000000000007, 124.0], [1515.2000000000007, 112.40000000000009], [1519.4000000000015, 97.0], [1536.2999999999993, 99.69999999999982], [1543.4000000000015, 100.69999999999982], [1550.7000000000007, 101.69999999999982], [1563.2999999999993, 103.0], [1575.7999999999993, 103.59999999999991], [1588.4000000000015, 103.30000000000018], [1598.2000000000007, 102.30000000000018], [1608.0, 100.59999999999991], [1617.7000000000007, 98.19999999999982], [1622.4000000000015, 96.80000000000018], [1627.0, 95.09999999999991], [1636.0, 91.30000000000018], [1644.5, 86.59999999999991], [1649.7999999999993, 82.90000000000009], [1655.0, 78.80000000000018], [1659.7999999999993, 74.30000000000018], [1664.2999999999993, 69.59999999999991], [1672.2999999999993, 59.09999999999991], [1677.5999999999985, 49.69999999999982], [1682.2999999999993, 39.5], [1687.0, 28.800000000000182], [1687.2000000000007, 28.199999999999818], [1690.5999999999985, 20.40000000000009], [1699.4000000000015, 20.40000000000009], [1702.7999999999993, 20.5], [1734.5, 21.40000000000009], [1766.4000000000015, 23.0], [1797.9000000000015, 24.0], [1825.5, 23.699999999999818], [1853.2000000000007, 22.699999999999818], [1880.9000000000015, 21.5], [1927.4000000000015, 19.90000000000009], [1974.0, 18.5], [2020.7999999999993, 16.699999999999818], [2061.2000000000007, 14.400000000000091], [2101.2999999999993, 11.599999999999909], [2151.9000000000015, 7.800000000000182], [2152.4000000000015, 17.800000000000182], [2152.5, 18.90000000000009], [2153.2999999999993, 30.199999999999818], [2154.4000000000015, 41.69999999999982], [2155.7999999999993, 53.0], [2157.4000000000015, 64.30000000000018], [2161.5999999999985, 86.59999999999991], [2171.7000000000007, 125.30000000000018], [2177.4000000000015, 144.9000000000001], [2182.7999999999993, 164.30000000000018], [2187.7999999999993, 184.0999999999999], [2192.0, 204.4000000000001], [2194.5, 223.0999999999999], [2196.0, 241.69999999999982], [2196.9000000000015, 260.5], [2197.2999999999993, 279.0999999999999], [2197.4000000000015, 316.0], [2197.4000000000015, 366.0], [2197.2999999999993, 402.9000000000001], [2196.9000000000015, 421.5], [2196.0, 440.1999999999998], [2194.5, 458.8000000000002], [2192.0, 477.5999999999999], [2187.7999999999993, 497.8000000000002], [2182.7999999999993, 517.6999999999998], [2177.4000000000015, 537.0], [2171.7000000000007, 556.5999999999999], [2161.5999999999985, 595.3000000000002], [2157.4000000000015, 617.6999999999998], [2155.7999999999993, 628.9000000000001], [2154.4000000000015, 640.1999999999998], [2153.2999999999993, 651.6999999999998], [2152.5, 663.0], [2152.4000000000015, 664.0999999999999], [2151.9000000000015, 674.1999999999998], [2101.2999999999993, 670.4000000000001], [2061.2000000000007, 667.5999999999999], [2020.7999999999993, 665.3000000000002], [1974.0, 663.4000000000001], [1927.4000000000015, 662.0], [1880.9000000000015, 660.4000000000001], [1853.2000000000007, 659.1999999999998], [1825.5, 658.3000000000002], [1797.9000000000015, 657.9000000000001], [1766.4000000000015, 659.0], [1734.5, 660.5], [1702.7999999999993, 661.5], [1690.5999999999985, 661.5], [1687.2000000000007, 653.6999999999998], [1687.0, 653.1999999999998], [1682.2999999999993, 642.4000000000001], [1677.5999999999985, 632.3000000000002], [1672.2999999999993, 622.9000000000001], [1664.2999999999993, 612.4000000000001], [1659.7999999999993, 607.5999999999999], [1655.0, 603.1999999999998], [1649.7999999999993, 599.0], [1644.5, 595.3000000000002], [1636.0, 590.6999999999998], [1627.0, 586.8000000000002], [1622.4000000000015, 585.1999999999998], [1617.7000000000007, 583.6999999999998], [1608.0, 581.4000000000001], [1598.2000000000007, 579.6999999999998], [1588.4000000000015, 578.6999999999998], [1575.7999999999993, 578.4000000000001], [1563.2999999999993, 579.0], [1550.7000000000007, 580.1999999999998], [1543.4000000000015, 581.1999999999998], [1536.2999999999993, 582.3000000000002], [1519.4000000000015, 585.0], [1515.2000000000007, 569.5999999999999], [1512.2000000000007, 557.9000000000001], [1509.4000000000015, 546.0], [1507.4000000000015, 535.9000000000001], [1505.7000000000007, 525.6999999999998], [1504.2000000000007, 515.5], [1502.5, 502.5999999999999], [1501.0, 489.4000000000001], [1499.7999999999993, 476.1999999999998], [1498.9000000000015, 463.5], [1498.2000000000007, 451.0999999999999], [1497.5999999999985, 438.0999999999999], [1496.9000000000015, 421.4000000000001], [1496.2999999999993, 404.1999999999998], [1495.9000000000015, 387.3000000000002], [1495.7999999999993, 371.8000000000002], [1495.7999999999993, 356.1999999999998], [1496.0, 341.0]]"
L0003,s000040,M0003,"[[9058.0, 230.0], [9058.0, 226.70000000000005], [9058.400000000001, 215.60000000000002], [9058.900000000001, 209.70000000000005], [9059.7, 203.79999999999995], [9060.8, 197.89999999999998], [9062.400000000001, 191.70000000000005], [9065.3, 183.5], [9068.7, 175.79999999999995], [9072.599999999999, 168.39999999999998], [9077.099999999999, 161.10000000000002], [9086.7, 148.10000000000002], [9096.900000000001, 137.0], [9107.400000000001, 126.89999999999998], [9118.0, 117.60000000000002], [9128.7, 108.70000000000005], [9149.3, 91.0], [9160.400000000001, 80.10000000000002], [9165.7, 74.39999999999998], [9170.7, 68.60000000000002], [9175.599999999999, 62.60000000000002], [9180.2, 56.5], [9184.5, 50.299999999999955], [9188.5, 43.89999999999998], [9192.099999999999, 37.5], [9195.400000000001, 30.899999999999977], [9198.400000000001, 24.200000000000045], [9200.900000000001, 17.5], [9201.0, 17.0], [9201.3, 16.100000000000023], [9203.900000000001, 7.2999999999999545], [9248.8, 21.399999999999977], [9263.8, 25.899999999999977], [9279.099999999999, 30.200000000000045], [9294.3, 34.10000000000002], [9309.400000000001, 37.5], [9327.400000000001, 40.799999999999955], [9345.400000000001, 43.60000000000002], [9363.7, 46.0], [9418.900000000001, 52.60000000000002], [9452.5, 57.200000000000045], [9486.400000000001, 62.700000000000045], [9502.8, 65.60000000000002], [9519.900000000001, 68.79999999999995], [9552.7, 75.10000000000002], [9586.599999999999, 82.0], [9627.400000000001, 90.39999999999998], [9627.400000000001, 384.5999999999999], [9586.400000000001, 393.0999999999999], [9552.599999999999, 399.9000000000001], [9519.7, 406.29999999999995], [9502.599999999999, 409.4000000000001], [9486.2, 412.29999999999995], [9452.7, 417.70000000000005], [9418.900000000001, 422.5], [9383.099999999999, 426.70000000000005], [9363.7, 429.0], [9345.400000000001, 431.4000000000001], [9327.3, 434.20000000000005], [9309.400000000001, 437.5], [9294.2, 440.9000000000001], [9279.099999999999, 444.79999999999995], [9263.8, 449.0999999999999], [9248.8, 453.5999999999999], [9202.900000000001, 468.0], [9201.0, 457.4000000000001], [9200.8, 456.20000000000005], [9200.7, 455.5999999999999], [9199.5, 450.29999999999995], [9198.099999999999, 445.20000000000005], [9196.400000000001, 440.0], [9194.5, 435.0999999999999], [9189.7, 424.79999999999995], [9187.099999999999, 420.0], [9184.3, 415.20000000000005], [9178.0, 405.5], [9171.2, 396.29999999999995], [9162.0, 385.5999999999999], [9152.099999999999, 375.20000000000005], [9141.7, 365.0999999999999], [9131.0, 355.0999999999999], [9108.599999999999, 334.5999999999999], [9101.599999999999, 328.0], [9094.8, 321.20000000000005], [9088.099999999999, 314.0], [9084.8, 310.0999999999999], [9081.5, 306.0999999999999], [9075.599999999999, 297.79999999999995], [9070.2, 288.70000000000005], [9066.3, 279.5999999999999], [9063.3, 270.5], [9061.0, 261.4000000000001], [9060.099999999999, 256.5999999999999], [9059.400000000001, 251.79999999999995], [9058.400000000001, 242.60000000000002], [9058.0, 233.39999999999998], [9058.0, 230.0]]"
L0003,s000041,M0003,"[[3623.0, 17.0], [3625.9000000000015, 17.59999999999991], [3629.0999999999985, 18.40000000000009], [3632.0999999999985, 19.299999999999955], [3635.0999999999985, 20.5], [3638.0999999999985, 21.90000000000009], [3641.0999999999985, 23.90000000000009], [3643.9000000000015, 26.299999999999955], [3646.0, 28.90000000000009], [3647.2000000000007, 30.700000000000045], [3648.2999999999993, 32.799999999999955], [3649.0, 34.90000000000009], [3649.5999999999985, 36.90000000000009], [3650.0999999999985, 39.0], [3650.4000000000015, 40.59999999999991], [3652.7000000000007, 55.200000000000045], [3642.5, 58.0], [3638.4000000000015, 58.90000000000009], [3631.2999999999993, 60.40000000000009], [3626.2000000000007, 61.200000000000045], [3621.5, 61.799999999999955], [3612.0, 62.799999999999955], [3602.2999999999993, 63.5], [3592.2999999999993, 63.90000000000009], [3589.0, 63.799999999999955], [3581.0, 63.799999999999955], [3579.7999999999993, 63.700000000000045], [3567.5999999999985, 63.200000000000045], [3555.7999999999993, 62.59999999999991], [3544.2000000000007, 61.700000000000045], [3524.7000000000007, 60.299999999999955], [3504.2000000000007, 59.200000000000045], [3502.4000000000015, 59.09999999999991], [3499.2999999999993, 58.90000000000009], [3491.5999999999985, 58.59999999999991], [3486.7999999999993, 58.40000000000009], [3482.2999999999993, 58.200000000000045], [3458.5, 57.299999999999955], [3444.7000000000007, 56.700000000000045], [3416.4000000000015, 56.0], [3403.5, 56.09999999999991], [3390.5999999999985, 56.0], [3362.2999999999993, 56.700000000000045], [3348.5, 57.200000000000045], [3324.7000000000007, 58.09999999999991], [3320.2000000000007, 58.299999999999955], [3315.4000000000015, 58.5], [3309.2999999999993, 58.799999999999955], [3307.7000000000007, 58.799999999999955], [3304.5999999999985, 59.0], [3302.7999999999993, 59.09999999999991], [3282.2999999999993, 60.200000000000045], [3262.7999999999993, 61.59999999999991], [3251.2000000000007, 62.40000000000009], [3239.4000000000015, 63.0], [3227.2000000000007, 63.5], [3226.0, 63.59999999999991], [3218.0, 63.59999999999991], [3214.7000000000007, 63.700000000000045], [3204.7000000000007, 63.299999999999955], [3194.9000000000015, 62.59999999999991], [3185.4000000000015, 61.5], [3180.7000000000007, 61.0], [3175.7000000000007, 60.09999999999991], [3172.2999999999993, 59.40000000000009], [3168.5999999999985, 58.59999999999991], [3164.5, 57.700000000000045], [3154.2999999999993, 54.90000000000009], [3156.5999999999985, 40.299999999999955], [3156.9000000000015, 38.700000000000045], [3157.4000000000015, 36.59999999999991], [3158.0, 34.59999999999991], [3158.7000000000007, 32.5], [3159.7999999999993, 30.5], [3161.0, 28.700000000000045], [3163.0999999999985, 26.0], [3165.9000000000015, 23.59999999999991], [3168.9000000000015, 21.700000000000045], [3172.0, 20.200000000000045], [3174.9000000000015, 19.09999999999991], [3177.9000000000015, 18.200000000000045], [3181.0999999999985, 17.299999999999955], [3184.0, 16.799999999999955], [3184.7999999999993, 16.700000000000045], [3192.9000000000015, 15.700000000000045], [3197.5999999999985, 15.200000000000045], [3202.0999999999985, 14.799999999999955], [3202.5, 14.799999999999955], [3202.7999999999993, 14.700000000000045], [3219.2999999999993, 13.299999999999955], [3234.7000000000007, 12.400000000000091], [3238.9000000000015, 12.099999999999909], [3243.4000000000015, 11.900000000000091], [3264.2999999999993, 10.700000000000045], [3284.9000000000015, 9.799999999999955], [3304.7999999999993, 9.0], [3315.2999999999993, 8.700000000000045], [3326.2999999999993, 8.400000000000091], [3341.9000000000015, 8.200000000000045], [3351.0, 8.0], [3359.7999999999993, 7.900000000000091], [3374.9000000000015, 7.7000000000000455], [3389.5, 7.599999999999909], [3403.5, 7.7000000000000455], [3417.5, 7.599999999999909], [3447.2000000000007, 7.900000000000091], [3456.0999999999985, 8.0], [3465.2000000000007, 8.299999999999955], [3480.7000000000007, 8.5], [3491.7000000000007, 8.799999999999955], [3502.2000000000007, 9.099999999999909], [3522.0999999999985, 9.900000000000091], [3542.7000000000007, 10.900000000000091], [3563.5999999999985, 12.0], [3568.0999999999985, 12.299999999999955], [3572.2999999999993, 12.599999999999909], [3587.7000000000007, 13.5], [3604.0, 14.900000000000091], [3604.5999999999985, 15.0], [3604.9000000000015, 15.0], [3607.9000000000015, 15.299999999999955], [3609.4000000000015, 15.400000000000091], [3614.0999999999985, 15.900000000000091], [3622.2999999999993, 16.90000000000009], [3623.0, 17.0]]"
L0003,s000042,M0003,"[[15320.0, 1496.0], [15323.3, 1496.0], [15324.900000000001, 1496.1], [15326.5, 1496.1], [15328.099999999999, 1496.0], [15329.900000000001, 1496.0], [15336.8, 1495.8000000000002], [15343.599999999999, 1495.3000000000002], [15350.400000000001, 1494.5], [15358.5, 1493.1], [15366.3, 1491.0], [15373.7, 1488.1], [15379.2, 1485.0], [15384.5, 1481.1999999999998], [15389.400000000001, 1476.9], [15391.7, 1474.6], [15393.900000000001, 1472.1], [15396.0, 1469.6], [15399.3, 1465.1999999999998], [15402.2, 1460.8000000000002], [15404.8, 1456.1999999999998], [15406.400000000001, 1452.8000000000002], [15407.900000000001, 1449.0], [15412.7, 1436.4], [15581.8, 1480.9], [15579.900000000001, 1490.8000000000002], [15577.8, 1501.1999999999998], [15575.5, 1512.6999999999998], [15573.400000000001, 1523.6999999999998], [15572.3, 1529.0], [15572.2, 1529.5], [15571.3, 1534.8000000000002], [15570.2, 1540.4], [15568.900000000001, 1548.3000000000002], [15567.599999999999, 1556.3000000000002], [15566.5, 1564.1999999999998], [15565.8, 1570.8000000000002], [15565.2, 1577.5], [15563.7, 1593.5], [15076.2, 1593.5], [15074.7, 1577.5], [15074.099999999999, 1570.8000000000002], [15073.400000000001, 1564.1999999999998], [15072.3, 1556.3000000000002], [15071.0, 1548.3000000000002], [15069.7, 1540.4], [15068.7, 1534.8000000000002], [15067.7, 1529.5], [15067.599999999999, 1529.0], [15066.599999999999, 1523.6999999999998], [15064.400000000001, 1512.6999999999998], [15062.099999999999, 1501.1999999999998], [15060.0, 1490.8000000000002], [15058.099999999999, 1480.9], [15227.2, 1436.4], [15232.0, 1449.0], [15233.5, 1452.8000000000002], [15235.099999999999, 1456.1999999999998], [15237.7, 1460.8000000000002], [15240.599999999999, 1465.1999999999998], [15243.900000000001, 1469.6], [15246.0, 1472.1], [15248.2, 1474.6], [15250.5, 1476.9], [15255.400000000001, 1481.1999999999998], [15260.7, 1485.0], [15266.2, 1488.1], [15273.599999999999, 1491.0], [15281.400000000001, 1493.1], [15289.5, 1494.5], [15296.3, 1495.3000000000002], [15303.099999999999, 1495.8000000000002], [15310.0, 1496.0], [15311.8, 1496.0], [15313.400000000001, 1496.1], [15315.0, 1496.1], [15316.599999999999, 1496.0], [15320.0, 1496.0]]"
L0003,s000043,M0003,"[[923.0, 369.0], [923.0, 401.4000000000001], [783.0, 401.29999999999995], [783.0, 368.9], [923.0, 369.0]]"
L0003,s000044,M0003,"[[3326.0, 75.0], [3326.0, 145.0], [3189.0, 145.0], [3189.0, 122.0], [3170.7999999999993, 122.0], [3154.0, 101.0], [3154.0, 93.90000000000009], [3169.2000000000007, 75.0], [3326.0, 75.0]]"
L0003,s000045,M0003,"[[71.0, 90.0], [72.90000000000146, 90.69999999999982], [73.90000000000146, 91.09999999999991], [80.20000000000073, 93.19999999999982], [86.5, 95.09999999999991], [93.0, 96.69999999999982], [99.5, 98.09999999999991], [112.59999999999854, 100.19999999999982], [127.0, 101.69999999999982], [134.09999999999854, 102.0], [141.29999999999927, 102.09999999999991], [148.40000000000146, 101.90000000000009], [155.5, 101.30000000000018], [165.70000000000073, 99.80000000000018], [175.79999999999927, 97.5], [180.79999999999927, 96.09999999999991], [185.70000000000073, 94.5], [195.29999999999927, 90.69999999999982], [204.5, 86.09999999999991], [213.20000000000073, 80.69999999999982], [219.0, 76.30000000000018], [224.40000000000146, 71.5], [226.90000000000146, 69.0], [229.40000000000146, 66.30000000000018], [234.09999999999854, 60.80000000000018], [238.20000000000073, 54.90000000000009], [241.79999999999927, 48.90000000000009], [245.5, 40.59999999999991], [248.59999999999854, 31.90000000000009], [251.5, 22.699999999999818], [251.59999999999854, 22.300000000000182], [252.0, 21.09999999999991], [254.40000000000146, 13.400000000000091], [260.7999999999993, 13.599999999999909], [267.7000000000007, 13.800000000000182], [386.5, 18.40000000000009], [445.7999999999993, 19.90000000000009], [486.7999999999993, 19.800000000000182], [527.5999999999985, 19.0], [568.7999999999993, 17.40000000000009], [614.0999999999985, 14.699999999999818], [660.0, 11.400000000000091], [715.4000000000015, 7.0], [716.2000000000007, 15.800000000000182], [716.2999999999993, 16.699999999999818], [716.4000000000015, 17.59999999999991], [718.0999999999985, 31.5], [720.4000000000015, 45.19999999999982], [723.2000000000007, 58.90000000000009], [726.4000000000015, 72.5], [733.7000000000007, 99.90000000000009], [745.5, 139.5], [751.2999999999993, 159.5], [756.5999999999985, 179.5999999999999], [761.4000000000015, 200.0999999999999], [765.0999999999985, 220.69999999999982], [766.5999999999985, 232.9000000000001], [767.7000000000007, 245.0999999999999], [768.5, 257.0999999999999], [769.0, 269.1999999999998], [769.5, 293.3000000000002], [769.5, 475.5999999999999], [769.0, 499.5999999999999], [768.5, 511.8000000000002], [767.7000000000007, 523.8000000000002], [766.5999999999985, 535.9000000000001], [765.0999999999985, 548.0999999999999], [761.4000000000015, 568.8000000000002], [756.5999999999985, 589.3000000000002], [751.2999999999993, 609.4000000000001], [745.5, 629.3000000000002], [733.7000000000007, 668.9000000000001], [726.4000000000015, 696.3000000000002], [723.2000000000007, 710.0], [720.4000000000015, 723.6999999999998], [718.0999999999985, 737.4000000000001], [716.4000000000015, 751.3000000000002], [716.2999999999993, 752.0999999999999], [716.2000000000007, 753.0], [715.4000000000015, 761.9000000000001], [660.0, 757.5], [614.0999999999985, 754.0999999999999], [568.7999999999993, 751.5], [527.5999999999985, 749.9000000000001], [486.7999999999993, 749.0], [445.7999999999993, 749.0], [386.5, 750.5], [267.7000000000007, 755.0], [263.59999999999854, 755.0999999999999], [261.0, 755.1999999999998], [254.40000000000146, 755.4000000000001], [252.0, 747.8000000000002], [251.70000000000073, 746.9000000000001], [251.5, 746.0], [248.59999999999854, 736.9000000000001], [245.5, 728.1999999999998], [241.79999999999927, 720.0], [238.20000000000073, 713.9000000000001], [234.09999999999854, 708.0999999999999], [229.40000000000146, 702.5], [226.90000000000146, 699.9000000000001], [224.40000000000146, 697.4000000000001], [219.0, 692.5], [213.20000000000073, 688.0999999999999], [204.5, 682.6999999999998], [195.29999999999927, 678.1999999999998], [185.70000000000073, 674.3000000000002], [180.79999999999927, 672.8000000000002], [175.79999999999927, 671.3000000000002], [165.70000000000073, 669.0], [155.5, 667.5], [148.40000000000146, 667.0], [141.29999999999927, 666.8000000000002], [134.09999999999854, 666.8000000000002], [127.0, 667.1999999999998], [112.59999999999854, 668.5999999999999], [99.5, 670.8000000000002], [92.90000000000146, 672.1999999999998], [86.5, 673.8000000000002], [80.20000000000073, 675.5999999999999], [73.90000000000146, 677.6999999999998], [72.90000000000146, 678.0999999999999], [72.20000000000073, 678.4000000000001], [71.0, 678.9000000000001], [61.599999999998545, 682.4000000000001], [7.700000000000728, 514.0], [19.0, 509.6999999999998], [22.599999999998545, 508.4000000000001], [25.599999999998545, 507.1999999999998], [32.599999999998545, 504.0999999999999], [39.400000000001455, 500.5999999999999], [45.79999999999927, 496.6999999999998], [48.900000000001455, 494.5], [52.0, 492.0], [54.900000000001455, 489.5], [58.29999999999927, 486.1999999999998], [61.400000000001455, 482.6999999999998], [64.29999999999927, 479.0], [66.29999999999927, 476.0], [68.09999999999854, 472.9000000000001], [69.59999999999854, 469.6999999999998], [70.29999999999927, 467.9000000000001], [44.70000000000073, 467.9000000000001], [44.70000000000073, 425.9000000000001], [37.70000000000073, 425.9000000000001], [29.700000000000728, 417.9000000000001], [29.700000000000728, 379.9000000000001], [37.70000000000073, 371.9000000000001], [74.29999999999927, 371.9000000000001], [74.20000000000073, 369.9000000000001], [74.20000000000073, 367.9000000000001], [74.09999999999854, 366.1999999999998], [73.90000000000146, 365.0], [73.79999999999927, 363.8000000000002], [73.5, 361.9000000000001], [73.79999999999927, 360.0], [74.0, 358.9000000000001], [74.09999999999854, 357.6999999999998], [74.20000000000073, 356.0], [74.20000000000073, 354.0], [74.29999999999927, 351.3000000000002], [74.29999999999927, 350.4000000000001], [74.40000000000146, 349.3000000000002], [74.40000000000146, 345.8000000000002], [74.5, 344.0999999999999], [74.5, 341.4000000000001], [74.59999999999854, 339.0], [74.59999999999854, 334.8000000000002], [74.5, 332.4000000000001], [74.40000000000146, 329.6999999999998], [74.40000000000146, 324.4000000000001], [74.29999999999927, 323.4000000000001], [74.29999999999927, 322.5], [74.20000000000073, 319.9000000000001], [74.20000000000073, 317.9000000000001], [74.09999999999854, 316.1999999999998], [73.90000000000146, 315.0], [73.79999999999927, 313.8000000000002], [73.59999999999854, 312.5999999999999], [72.59999999999854, 308.0], [71.29999999999927, 303.5], [69.59999999999854, 299.1999999999998], [68.09999999999854, 295.9000000000001], [66.29999999999927, 292.8000000000002], [64.29999999999927, 289.8000000000002], [61.400000000001455, 286.1999999999998], [58.29999999999927, 282.5999999999999], [54.900000000001455, 279.3000000000002], [52.0, 276.8000000000002], [48.900000000001455, 274.4000000000001], [45.79999999999927, 272.1999999999998], [39.400000000001455, 268.1999999999998], [32.599999999998545, 264.6999999999998], [25.599999999998545, 261.5999999999999], [22.599999999998545, 260.4000000000001], [7.700000000000728, 254.9000000000001], [61.599999999998545, 86.40000000000009], [71.0, 90.0]]"
L0003,s000046,M0003,"[[14194.0, 23.0], [14194.0, 7.0], [14473.2, 7.0], [14473.2, 68.70000000000005], [14473.0, 71.5], [14472.900000000001, 73.29999999999995], [14472.400000000001, 75.79999999999995], [14471.7, 78.5], [14470.7, 81.09999999999991], [14469.7, 83.40000000000009], [14468.400000000001, 85.70000000000005], [14467.0, 88.0], [14465.3, 90.0], [14463.5, 91.79999999999995], [14459.8, 94.5], [14455.8, 96.79999999999995], [14451.5, 98.29999999999995], [14447.5, 99.5], [14443.099999999999, 100.20000000000005], [14439.099999999999, 100.5], [14228.099999999999, 100.5], [14224.099999999999, 100.20000000000005], [14219.7, 99.5], [14215.7, 98.29999999999995], [14211.400000000001, 96.79999999999995], [14207.400000000001, 94.5], [14203.7, 91.79999999999995], [14201.900000000001, 90.0], [14200.2, 88.0], [14198.8, 85.70000000000005], [14197.5, 83.40000000000009], [14196.5, 81.09999999999991], [14195.5, 78.5], [14194.8, 75.79999999999995], [14194.3, 73.29999999999995], [14194.2, 71.5], [14194.0, 68.70000000000005], [14194.0, 23.0]]"
L0003,s000047,M0003,"[[3960.0, 1306.0], [3960.0, 1290.0], [4242.200000000001, 1290.0], [4242.200000000001, 1351.7], [4242.0, 1354.8000000000002], [4241.9000000000015, 1356.5], [4241.4000000000015, 1359.1999999999998], [4240.700000000001, 1361.9], [4239.700000000001, 1364.6999999999998], [4238.5999999999985, 1367.1], [4237.299999999999, 1369.4], [4235.700000000001, 1371.9], [4234.0, 1374.0], [4232.0, 1376.0], [4228.200000000001, 1378.8000000000002], [4224.0, 1381.1999999999998], [4219.5999999999985, 1382.6999999999998], [4215.4000000000015, 1383.9], [4210.9000000000015, 1384.6999999999998], [4206.700000000001, 1385.0], [3995.5999999999985, 1385.0], [3991.4000000000015, 1384.6999999999998], [3986.9000000000015, 1383.9], [3982.7000000000007, 1382.6999999999998], [3978.2999999999993, 1381.1999999999998], [3974.0999999999985, 1378.8000000000002], [3970.2000000000007, 1376.0], [3968.2000000000007, 1374.0], [3966.5, 1371.9], [3965.0, 1369.4], [3963.7000000000007, 1367.1], [3962.5999999999985, 1364.6999999999998], [3961.5, 1361.9], [3960.9000000000015, 1359.1999999999998], [3960.4000000000015, 1356.5], [3960.2000000000007, 1354.8000000000002], [3960.0, 1351.7], [3960.0, 1306.0]]"
L0003,s000048,M0003,"[[9485.0, 1488.0], [9485.0, 1472.0], [9767.2, 1472.0], [9767.2, 1533.6999999999998], [9767.0, 1536.8000000000002], [9766.900000000001, 1538.4], [9766.400000000001, 1541.1999999999998], [9765.7, 1543.9], [9764.7, 1546.6999999999998], [9763.599999999999, 1549.1], [9762.3, 1551.4], [9760.7, 1553.9], [9759.0, 1556.0], [9757.0, 1558.0], [9753.2, 1560.8000000000002], [9749.0, 1563.1], [9744.599999999999, 1564.6999999999998], [9740.400000000001, 1565.9], [9735.900000000001, 1566.6999999999998], [9731.7, 1567.0], [9520.599999999999, 1567.0], [9516.400000000001, 1566.6999999999998], [9511.900000000001, 1565.9], [9507.7, 1564.6999999999998], [9503.3, 1563.1], [9499.099999999999, 1560.8000000000002], [9495.2, 1558.0], [9493.2, 1556.0], [9491.5, 1553.9], [9490.0, 1551.4], [9488.7, 1549.1], [9487.599999999999, 1546.6999999999998], [9486.5, 1543.9], [9485.900000000001, 1541.1999999999998], [9485.400000000001, 1538.4], [9485.2, 1536.8000000000002], [9485.0, 1533.6999999999998], [9485.0, 1488.0]]"
